epoch,step,min_lidar,action,reward,q_max,loss
1,0,0.665,0,1.0,0.0,0
1,1,0.664,0,1.0,-3.2421105,0
1,2,0.670,2,-0.05,-3.241297,0
1,3,0.661,0,1.0,-3.2532096,0
1,4,0.671,0,1.0,-3.2058415,0
1,5,0.661,2,-0.05,-3.2248163,0
1,6,0.665,0,1.0,-3.257854,0
1,7,0.668,0,1.0,-3.2488184,0
1,8,0.657,0,1.0,-3.2230268,0
1,9,0.669,1,-0.05,-3.1923523,0
1,10,0.671,2,-0.05,-3.166963,0
1,11,0.664,1,-0.05,-2.9928086,0
1,12,0.654,0,1.0,-3.2292175,0
1,13,0.659,0,1.0,-3.3791306,0
1,14,0.653,0,1.0,-3.3925116,0
1,15,0.646,0,1.0,-3.3662338,0
1,16,0.646,2,-0.05,-3.3932478,0
1,17,0.644,0,1.0,-3.4940069,0
1,18,0.652,1,-0.05,-3.4923224,0
1,19,0.636,2,-0.05,-3.5509748,0
1,20,0.628,0,1.0,-3.4129646,0
1,21,0.639,1,-0.05,-3.3161678,0
1,22,0.633,0,1.0,-2.9248304,0
1,23,0.643,2,-0.05,-2.9234915,0
1,24,0.638,1,-0.05,-2.8947496,0
1,25,0.635,2,-0.05,-3.2850413,0
1,26,0.633,1,-0.05,-3.0880198,0
1,27,0.616,1,-0.05,-3.2464156,0
1,28,0.644,0,1.0,-3.5003319,0
1,29,0.626,0,1.0,-3.373086,0
1,30,0.626,2,-0.05,-3.4029007,0
1,31,0.625,0,1.0,-3.4107437,0
1,32,0.613,2,-0.05,-3.4174035,0
1,33,0.604,1,-0.05,-3.3887148,0
1,34,0.613,2,-0.05,-3.2278857,0
1,35,0.606,1,-0.05,-3.4045517,0
1,36,0.596,0,1.0,-3.34594,0
1,37,0.586,0,1.0,-3.6574597,0
1,38,0.576,1,-0.05,-3.6419234,0
1,39,0.574,2,-0.05,-4.0496173,0
1,40,0.570,2,-0.05,-3.507243,0
1,41,0.558,0,1.0,-3.4173822,0
