epoch,step,min_lidar,action,reward,q_max,loss
1,0,0.660,2,-0.05,-0.11282623,0
1,1,0.669,1,-0.05,-0.059095383,0
1,2,0.675,1,-0.05,0.07061255,0
1,3,0.672,2,-0.05,-0.35403526,0
1,4,0.661,0,1.0,-0.50174034,0
1,5,0.675,0,1.0,0.2306472,0
1,6,0.683,0,1.0,0.29234338,0
1,7,0.698,2,-0.05,0.31410587,0
1,8,0.709,1,-0.05,0.13857007,0
1,9,0.694,0,1.0,0.3590151,0
1,10,0.692,2,-0.05,-0.5371448,0
1,11,0.708,2,-0.05,0.062344193,0
1,12,0.702,1,-0.05,-0.47274208,0
1,13,0.702,2,-0.05,0.34419847,0
1,14,0.704,1,-0.05,-0.48263776,0
1,15,0.701,0,1.0,0.31359637,0
1,16,0.699,2,-0.05,-0.17009234,0
1,17,0.709,2,-0.05,0.22985458,0
1,18,0.695,2,-0.05,-0.6174271,0
1,19,0.642,0,1.0,0.6787889,0
1,20,0.596,1,-0.05,1.3616644,0
1,21,0.587,2,-0.05,0.8306515,0
1,22,0.563,1,-0.05,1.3882744,0
1,23,0.515,0,1.0,0.52158654,0
1,24,0.452,0,1.0,0.28788126,0
1,25,0.378,0,1.0,0.35618544,0
1,26,0.364,2,-0.05,0.40542316,0
1,27,0.338,1,-0.05,0.80311245,0
1,28,0.315,2,-0.05,0.95166767,0
1,29,0.244,0,1.0,0.75057435,0
1,30,0.206,2,-0.05,0.8348768,0
1,31,0.181,1,-100.0,0.5702373,0
2,0,0.671,2,-0.05,-0.27861476,0
2,1,0.669,1,-0.05,0.09753227,0
2,2,0.658,0,1.0,-0.3255136,0
2,3,0.640,2,-0.05,-0.48329937,0
2,4,0.660,2,-0.05,-0.021383286,0
2,5,0.716,0,1.0,-0.31044447,0
2,6,0.694,1,-0.05,-0.2255044,0
2,7,0.652,0,1.0,-0.4837042,0
2,8,0.649,1,-0.05,0.11639702,0
2,9,0.657,2,-0.05,0.17243874,0
2,10,0.662,2,-0.05,0.036067486,0
2,11,0.645,2,-0.05,0.31875288,0
2,12,0.610,1,-0.05,1.152677,0
2,13,0.619,2,-0.05,0.60705554,0
2,14,0.598,1,-0.05,1.2882649,0
2,15,0.584,2,-0.05,0.44039822,0
2,16,0.499,0,1.0,0.8497797,0
2,17,0.445,2,-0.05,0.8832487,0
2,18,0.314,0,1.0,2.245934,0
2,19,0.268,1,-0.05,0.5872111,0
2,20,0.243,2,-0.05,1.895056,0
2,21,0.143,0,-100.0,-0.47267535,0
3,0,0.667,0,1.0,-0.124447584,0
3,1,0.677,0,1.0,-0.08277106,0
3,2,0.674,0,1.0,-0.09694731,0
3,3,0.675,2,-0.05,-0.14363182,0
3,4,0.722,2,-0.05,0.280208,0
3,5,0.693,0,1.0,-0.14386582,0
3,6,0.642,1,-0.05,0.7167201,0
3,7,0.628,1,-0.05,-0.05384028,0
3,8,0.611,0,1.0,-0.36785924,0
3,9,0.612,1,-0.05,0.49186856,0
3,10,0.649,1,-0.05,-0.22703469,0
3,11,0.706,1,-0.05,-0.82928485,0
3,12,0.768,1,-0.05,-0.8009627,0
3,13,0.759,2,-0.05,0.07941547,0
3,14,0.742,1,-0.05,-0.098213196,0
3,15,0.712,2,-0.05,0.05468148,0
3,16,0.681,2,-0.05,-0.1044648,0
3,17,0.660,2,-0.05,-0.70392704,0
3,18,0.675,1,-0.05,-0.7214739,0
3,19,0.623,0,1.0,-1.1739286,0
3,20,0.579,2,-0.05,-0.2846017,0
3,21,0.556,2,-0.05,-1.0640569,0
3,22,0.557,0,1.0,-0.6582782,0
3,23,0.572,1,-0.05,-0.1611985,0
3,24,0.544,0,1.0,-1.2701197,0
3,25,0.520,0,1.0,-0.8460602,0
3,26,0.494,1,-0.05,-0.32988867,0
3,27,0.482,1,-0.05,-0.4848919,0
3,28,0.467,2,-0.05,0.14001691,0
3,29,0.461,1,-0.05,-0.20502359,0
3,30,0.445,2,-0.05,-0.007426083,0
3,31,0.434,1,-0.05,0.12016755,0
3,32,0.346,0,1.0,-0.15164298,0
3,33,0.307,2,-0.05,-0.47986042,0
