epoch,step,min_lidar,action,reward,q_max,loss
1,0,0.668,0,1.0,0.0,0
1,1,0.662,2,-0.05,4.0400524,0
1,2,0.674,2,-0.05,4.1617403,0
1,3,0.654,2,-0.05,4.2134876,0
1,4,0.663,2,-0.05,4.7338486,0
1,5,0.661,0,1.0,5.018077,0
1,6,0.680,2,-0.05,4.677619,0
1,7,0.685,1,-0.05,4.4756355,0
1,8,0.689,0,1.0,4.65071,0
1,9,0.699,1,-0.05,4.9653544,0
1,10,0.703,1,-0.05,4.5546293,0
1,11,0.694,1,-0.05,4.2163467,0
1,12,0.695,1,-0.05,4.12171,0
1,13,0.703,2,-0.05,3.9628494,0
1,14,0.704,0,1.0,3.9890907,0
1,15,0.707,2,-0.05,4.2226305,0
1,16,0.703,0,1.0,4.4950233,0
1,17,0.699,0,1.0,4.703312,0
1,18,0.676,0,1.0,4.745681,0
1,19,0.669,2,-0.05,4.6852565,0
1,20,0.662,0,1.0,4.6561637,0
1,21,0.655,0,1.0,4.64868,0
1,22,0.639,2,-0.05,4.5463915,0
1,23,0.628,0,1.0,4.548274,0
1,24,0.632,2,-0.05,4.515107,0
1,25,0.609,1,-0.05,4.526815,0
1,26,0.609,1,-0.05,4.3183107,0
1,27,0.605,0,1.0,4.1993055,0
1,28,0.595,1,-0.05,4.152179,0
1,29,0.604,2,-0.05,3.9328976,0
1,30,0.604,1,-0.05,3.9934087,0
1,31,0.598,1,-0.05,3.9227207,0
1,32,0.602,2,-0.05,4.0058956,0
1,33,0.612,1,-0.05,3.8520975,0
1,34,0.598,1,-0.05,4.012212,0
1,35,0.608,2,-0.05,3.8366168,0
1,36,0.599,2,-0.05,4.026867,0
1,37,0.610,2,-0.05,4.020799,0
1,38,0.602,0,1.0,4.055932,0
1,39,0.596,0,1.0,4.2751694,0
1,40,0.595,0,1.0,4.153716,0
1,41,0.587,2,-0.05,4.1706505,0
1,42,0.600,2,-0.05,4.11833,0
1,43,0.596,1,-0.05,4.27579,0
1,44,0.579,0,1.0,4.111992,0
1,45,0.576,2,-0.05,4.319216,0
