epoch,step,min_lidar,action,reward,q_max,loss
1,0,0.660,0,1.0,-0.8595457,0
1,1,0.675,1,-0.05,-0.8778138,0
1,2,0.639,0,1.0,-0.8536856,0
1,3,0.625,2,-0.05,-1.1668756,0
1,4,0.638,1,-0.05,-0.90003896,0
1,5,0.611,2,-0.05,-1.4106917,0
1,6,0.620,1,-0.05,-1.1814053,0
1,7,0.587,0,1.0,-1.726773,0
1,8,0.559,2,-0.05,-1.8416276,0
1,9,0.536,0,1.0,-1.3286319,0
1,10,0.527,0,1.0,-1.3645421,0
1,11,0.508,0,1.0,-1.5178235,0
1,12,0.506,1,-0.05,-1.5532273,0
1,13,0.500,1,-0.05,-1.9514556,0
1,14,0.473,2,-0.05,-1.7464497,0
1,15,0.457,0,1.0,-1.8811035,0
1,16,0.429,2,-0.05,-2.047919,0
1,17,0.429,2,-0.05,-2.003645,0
1,18,0.446,1,-0.05,-2.003645,0
1,19,0.436,2,-0.05,-2.1761138,0
1,20,0.434,2,-0.05,-2.0041823,0
1,21,0.445,1,-0.05,-1.7922693,0
1,22,0.452,1,-0.05,-2.1064363,0
1,23,0.450,1,-0.05,-2.1861305,0
1,24,0.443,1,-0.05,-2.2961867,0
1,25,0.413,1,-0.05,-1.4975486,0
1,26,0.343,0,1.0,-0.45955527,0
1,27,0.290,1,-0.05,0.75904405,0
1,28,0.275,2,-0.05,0.11953616,0
1,29,0.197,0,-100.0,0.22615552,0
2,0,0.677,1,-0.05,-0.88855696,0
2,1,0.665,1,-0.05,-0.989208,0
2,2,0.654,2,-0.05,-1.2621319,0
2,3,0.632,0,1.0,-1.4566365,0
2,4,0.621,1,-0.05,-1.0355954,0
2,5,0.613,1,-0.05,-1.7457676,0
2,6,0.535,0,1.0,-1.547025,0
2,7,0.458,0,1.0,-1.3371794,0
2,8,0.421,1,-0.05,-1.276831,0
2,9,0.399,1,-0.05,0.18988907,0
2,10,0.379,1,-0.05,0.3858117,0
2,11,0.354,1,-0.05,-0.3365785,0
2,12,0.315,1,-0.05,-0.7170422,0
2,13,0.287,1,-0.05,-0.1736381,0
2,14,0.245,1,-0.05,0.35796297,0
2,15,0.221,2,-0.05,0.46438646,0
2,16,0.120,0,-100.0,0.1595738,0
3,0,0.653,2,-0.05,-0.8885653,0
3,1,0.695,0,1.0,-1.6302798,0
3,2,0.687,1,-0.05,-0.99735737,0
3,3,0.701,2,-0.05,-1.2041938,0
3,4,0.667,1,-0.05,-0.9991851,0
3,5,0.677,1,-0.05,-1.099688,0
3,6,0.699,0,1.0,-0.76677847,0
3,7,0.688,1,-0.05,-1.2426033,0
3,8,0.677,1,-0.05,-1.4533453,0
3,9,0.646,2,-0.05,-1.1808425,0
3,10,0.647,1,-0.05,-1.3076441,0
3,11,0.630,2,-0.05,-1.33642,0
3,12,0.567,0,1.0,-1.5500112,0
3,13,0.556,2,-0.05,-1.8818109,0
3,14,0.542,2,-0.05,-1.4416935,0
3,15,0.556,0,1.0,-1.3726492,0
3,16,0.556,2,-0.05,-1.8151786,0
3,17,0.595,0,1.0,-2.074935,0
3,18,0.609,2,-0.05,-1.3367968,0
3,19,0.633,1,-0.05,-1.5487978,0
3,20,0.622,2,-0.05,-1.2773399,0
3,21,0.640,2,-0.05,-1.1093779,0
3,22,0.701,0,1.0,-1.2514088,0
3,23,0.653,2,-0.05,-1.2619643,0
3,24,0.562,0,1.0,-1.5890301,0
3,25,0.443,0,1.0,-0.90680027,0
3,26,0.406,2,-0.05,-0.45343685,0
3,27,0.297,0,1.0,0.04599303,0
3,28,0.231,1,-0.05,0.20428485,0
3,29,0.197,2,-100.0,0.9509103,0
4,0,0.671,2,-0.05,-0.8848822,0
4,1,0.675,1,-0.05,-1.4772658,0
4,2,0.676,2,-0.05,-1.2185888,0
4,3,0.666,2,-0.05,-1.4302506,0
4,4,0.698,0,1.0,-1.1929243,0
4,5,0.656,2,-0.05,-1.010117,0
4,6,0.634,2,-0.05,-0.7881863,0
4,7,0.567,0,1.0,-1.531175,0
4,8,0.512,2,-0.05,-0.7063248,0
4,9,0.389,0,1.0,-0.16722882,0
4,10,0.348,2,-0.05,0.53372645,0
4,11,0.310,1,-0.05,0.7547339,0
4,12,0.278,2,-0.05,0.82238317,0
4,13,0.252,1,-0.05,0.529472,0
4,14,0.144,0,-100.0,0.88266885,0
5,0,0.671,2,-0.05,-0.89287496,0
5,1,0.670,1,-0.05,-1.6279101,0
5,2,0.663,0,1.0,-0.81031847,0
5,3,0.655,1,-0.05,-0.66890335,0
5,4,0.658,1,-0.05,-1.003185,0
5,5,0.596,0,1.0,-1.2343974,0
5,6,0.549,0,1.0,-1.5870754,0
5,7,0.518,1,-0.05,-1.7005851,0
5,8,0.420,0,1.0,-0.95969737,0
5,9,0.388,2,-0.05,0.12662482,0
5,10,0.306,0,1.0,-1.204969,0
5,11,0.279,2,-0.05,-1.8128481,0
5,12,0.246,0,1.0,-2.2582955,0
5,13,0.208,0,1.0,-2.2029443,0
5,14,0.174,2,-100.0,-2.2918673,0
6,0,0.671,2,-0.05,-0.8819368,0
6,1,0.671,2,-0.05,-1.4825017,0
6,2,0.684,0,1.0,-1.1668365,0
6,3,0.667,2,-0.05,-0.89414,0
6,4,0.589,0,1.0,-1.0450383,0
6,5,0.519,1,-0.05,-1.016752,0
6,6,0.493,0,1.0,-0.27334642,0
6,7,0.465,1,-0.05,0.010515451,0
6,8,0.413,0,1.0,-0.06674814,0
6,9,0.404,2,-0.05,-0.21241021,0
6,10,0.401,2,-0.05,0.120818615,0
6,11,0.334,0,1.0,-0.053331375,0
6,12,0.283,2,-0.05,-0.21182036,0
6,13,0.260,1,-0.05,0.9589213,0
6,14,0.232,1,-0.05,-0.20302594,0
6,15,0.219,2,-0.05,1.7097013,0
6,16,0.136,0,-100.0,1.8576614,0
7,0,0.665,0,1.0,-0.8885639,0
7,1,0.669,1,-0.05,-0.88471794,0
7,2,0.664,2,-0.05,-0.9225359,0
7,3,0.669,0,1.0,-0.8728504,0
7,4,0.672,2,-0.05,-1.2980893,0
7,5,0.695,0,1.0,-1.3716757,0
7,6,0.696,1,-0.05,-1.2253265,0
7,7,0.694,1,-0.05,-1.1308832,0
7,8,0.695,2,-0.05,-0.41305685,0
7,9,0.686,1,-0.05,-0.7856095,0
7,10,0.693,1,-0.05,-0.6866932,0
7,11,0.690,0,1.0,-1.2876734,0
7,12,0.660,2,-0.05,-1.2400436,0
7,13,0.614,0,1.0,-1.5912375,0
7,14,0.614,1,-0.05,-1.7210147,0
7,15,0.575,0,1.0,-1.8916285,0
7,16,0.543,2,-0.05,-1.7655593,0
7,17,0.512,0,1.0,-2.3110375,0
7,18,0.485,1,-0.05,-1.8973467,0
7,19,0.482,2,-0.05,-2.221056,0
7,20,0.470,2,-0.05,-2.0055032,0
7,21,0.483,1,-0.05,-1.9904923,0
7,22,0.451,0,1.0,-1.9477246,0
7,23,0.424,2,-0.05,-1.9203391,0
7,24,0.433,0,1.0,-2.4374008,0
7,25,0.414,2,-0.05,-2.2921815,0
7,26,0.414,2,-0.05,-2.5740495,0
7,27,0.425,2,-0.05,-1.7922118,0
7,28,0.436,1,-0.05,-2.5946298,0
7,29,0.451,2,-0.05,-1.642541,0
7,30,0.461,1,-0.05,-2.2644274,0
7,31,0.496,0,1.0,-1.583551,0
7,32,0.511,2,-0.05,-1.7296175,0
7,33,0.513,1,-0.05,-1.6111528,0
7,34,0.548,1,-0.05,-1.7580861,0
7,35,0.545,1,-0.05,-2.392261,0
7,36,0.540,1,-0.05,-2.0963082,0
7,37,0.505,0,1.0,-1.4990218,0
7,38,0.464,2,-0.05,-1.1428773,0
7,39,0.456,2,-0.05,-1.5796779,0
7,40,0.455,2,-0.05,-2.7513413,0
7,41,0.457,1,-0.05,-2.7514648,0
7,42,0.459,1,-0.05,-2.9589162,0
7,43,0.445,2,-0.05,-1.3250817,0
7,44,0.425,0,1.0,-2.344249,0
7,45,0.438,0,1.0,-2.9828706,0
7,46,0.422,1,-0.05,-2.9087067,0
7,47,0.434,1,-0.05,-2.0241418,0
7,48,0.427,2,-0.05,-0.2000103,0
7,49,0.409,0,1.0,-0.8158109,0
7,50,0.397,1,-0.05,-1.49866,0
7,51,0.395,1,-0.05,-0.7876967,0
7,52,0.386,1,-0.05,-0.6030867,0
7,53,0.371,1,-0.05,-0.64910334,0
7,54,0.330,1,-0.05,-0.42573154,0
7,55,0.314,1,-0.05,0.85560477,0
7,56,0.248,0,1.0,0.14687848,0
7,57,0.183,2,-100.0,-0.88113725,0
8,0,0.667,0,1.0,-0.8816447,0
8,1,0.666,1,-0.05,-0.91994524,0
8,2,0.659,2,-0.05,-0.8649032,0
8,3,0.682,0,1.0,-0.94312215,0
8,4,0.689,1,-0.05,-1.4197798,0
8,5,0.680,1,-0.05,-0.6306777,0
8,6,0.670,1,-0.05,-1.3349278,0
8,7,0.606,0,1.0,-1.1079447,0
8,8,0.549,0,1.0,-1.5636144,0
8,9,0.523,1,-0.05,-1.5671511,0
8,10,0.465,0,1.0,-1.1295307,0
8,11,0.412,1,-0.05,0.01405108,0
8,12,0.388,2,-0.05,0.011862993,0
8,13,0.314,0,1.0,0.18566608,0
8,14,0.275,1,-0.05,-0.55365145,0
8,15,0.255,2,-0.05,-0.121370435,0
8,16,0.236,1,-0.05,-0.39184403,0
8,17,0.153,0,-100.0,-0.29627895,0
9,0,0.670,1,-0.05,-0.8928194,0
9,1,0.652,0,1.0,-0.947289,0
9,2,0.598,0,1.0,-1.4119333,0
9,3,0.579,0,1.0,-1.431328,0
9,4,0.541,0,1.0,-1.5737127,0
9,5,0.521,2,-0.05,-1.5662131,0
9,6,0.521,0,1.0,-1.38157,0
9,7,0.528,1,-0.05,-1.5560762,0
9,8,0.509,2,-0.05,-1.5219545,0
9,9,0.509,2,-0.05,-1.5810101,0
9,10,0.519,0,1.0,-2.1320367,0
9,11,0.558,1,-0.05,-2.161395,0
9,12,0.545,0,1.0,-1.6865671,0
9,13,0.549,0,1.0,-1.6000167,0
9,14,0.564,1,-0.05,-1.6149415,0
9,15,0.530,2,-0.05,-1.8094276,0
9,16,0.548,2,-0.05,-1.6644428,0
9,17,0.555,1,-0.05,-1.6691945,0
9,18,0.563,1,-0.05,-1.7978015,0
